"ID","nadconVersion","vertconVersion","srcDatum","destDatum","srcVertDatum","destVertDatum","srcLat","srcLatDms","destLat","destLatDms","srcLon","srcLonDms","destLon","destLonDms","srcEht","destEht","srcOrthht","destOrthoht","sigLat","sigLon","sigLat_m","sigLon_m","sigEht","sigOrthoht","deltaLat","deltaLon","spcZone","spcNorthing_m","spcEasting_m","spcNorthing_usft","spcEasting_usft","spcNorthing_ift","spcEasting_ift","spcConvergence","spcScaleFactor","spcCombinedFactor","utmZone","utmNorthing","utmEasting","utmConvergence","utmScaleFactor","utmCombinedFactor","x","y","z","usng"
"﻿ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58950","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6344857743","N403804.14879","40.6344857743","N403804.14879","-74.1187664096","W0740707.55907","-74.1187664096","W0740707.55907","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","51,956.007","289,952.553","170,459.000","951,286.000","170,459.341","951,287.903","-00 04 39.66","1.00000195","N/A","UTM Zone 18","4,498,556.033","574,521.455","00 34 26.09","0.99966836","N/A","N/A","N/A","N/A","18TWK7452198556"
"59050","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6274798287","N403738.92738","40.6274798287","N403738.92738","-74.1225618236","W0740721.22256","-74.1225618236","W0740721.22256","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","51,178.461","289,630.378","167,908.000","950,229.000","167,908.336","950,230.900","-00 04 48.60","1.00000241","N/A","UTM Zone 18","4,497,775.134","574,208.248","00 34 16.89","0.99966778","N/A","N/A","N/A","N/A","18TWK7420897775"
"59300","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6139000546","N403650.04020","40.6139000546","N403650.04020","-74.1130965636","W0740647.14763","-74.1130965636","W0740647.14763","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","49,669.393","290,429.261","162,957.000","952,850.000","162,957.326","952,851.906","-00 04 26.31","1.00000335","N/A","UTM Zone 18","4,496,275.748","575,023.963","00 34 38.51","0.99966928","N/A","N/A","N/A","N/A","18TWK7502396275"
"59350","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6129224808","N403646.52093","40.6129224808","N403646.52093","-74.1241486811","W0740726.93525","-74.1241486811","W0740726.93525","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","49,562.103","289,493.828","162,605.000","949,781.000","162,605.325","949,782.900","-00 04 52.33","1.00000342","N/A","UTM Zone 18","4,496,157.871","574,090.123","00 34 12.57","0.99966757","N/A","N/A","N/A","N/A","18TWK7409096157"
"76150","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7123453924","N404244.44341","40.7123453924","N404244.44341","-73.8038807232","W0734813.97060","-73.8038807232","W0734813.97060","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","60,613.868","316,572.009","198,864.000","1,038,620.000","198,864.398","1,038,622.077","00 07 41.80","0.99999778","N/A","UTM Zone 18","4,507,513.393","601,032.644","00 46 48.90","0.99972564","N/A","N/A","N/A","N/A","18TXL0103207513"
"76300","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7254965280","N404331.78750","40.7254965280","N404331.78750","-73.7530255468","W0734510.89197","-73.7530255468","W0734510.89197","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","62,085.141","320,865.126","203,691.000","1,052,705.000","203,691.407","1,052,707.105","00 09 41.55","0.99999725","N/A","UTM Zone 18","4,509,033.021","605,307.600","00 48 49.12","0.99973650","N/A","N/A","N/A","N/A","18TXL0530709033"
"76450","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7088900212","N404232.00408","40.7088900212","N404232.00408","-73.8156855881","W0734856.46812","-73.8156855881","W0734856.46812","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","60,227.991","315,575.311","197,598.000","1,035,350.000","197,598.395","1,035,352.071","00 07 14.00","0.99999792","N/A","UTM Zone 18","4,507,116.308","600,040.673","00 46 20.97","0.99972319","N/A","N/A","N/A","N/A","18TXL0004007116"
"76550","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6787154898","N404043.37576","40.6787154898","N404043.37576","-73.7791354228","W0734644.88752","-73.7791354228","W0734644.88752","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","56,884.328","318,672.390","186,628.000","1,045,511.000","186,628.373","1,045,513.091","00 08 40.07","0.99999935","N/A","UTM Zone 18","4,503,808.985","603,174.729","00 47 45.06","0.99973103","N/A","N/A","N/A","N/A","18TXL0317403808"
"76650","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7168609238","N404300.69933","40.7168609238","N404300.69933","-73.7755423296","W0734631.95239","-73.7755423296","W0734631.95239","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","61,121.057","318,965.304","200,528.000","1,046,472.000","200,528.401","1,046,474.093","00 08 48.53","0.99999759","N/A","UTM Zone 18","4,508,047.638","603,419.370","00 47 55.72","0.99973165","N/A","N/A","N/A","N/A","18TXL0341908047"
"76750","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7060679612","N404221.84466","40.7060679612","N404221.84466","-73.8006025859","W0734802.16931","-73.8006025859","W0734802.16931","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","59,917.399","316,850.597","196,579.000","1,039,534.000","196,579.393","1,039,536.079","00 07 49.52","0.99999805","N/A","UTM Zone 18","4,506,820.327","601,319.060","00 46 56.24","0.99972635","N/A","N/A","N/A","N/A","18TXL0131906820"
"76850","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7009275904","N404203.33933","40.7009275904","N404203.33933","-73.7645852860","W0734552.50703","-73.7645852860","W0734552.50703","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","59,354.128","319,895.860","194,731.000","1,049,525.000","194,731.389","1,049,527.099","00 09 14.33","0.99999827","N/A","UTM Zone 18","4,506,291.876","604,369.716","00 48 20.52","0.99973408","N/A","N/A","N/A","N/A","18TXL0436906291"
"76950","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7173883790","N404302.59816","40.7173883790","N404302.59816","-73.7568469767","W0734524.64912","-73.7568469767","W0734524.64912","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","61,183.846","320,544.780","200,734.000","1,051,654.000","200,734.401","1,051,656.103","00 09 32.55","0.99999757","N/A","UTM Zone 18","4,508,128.375","604,997.613","00 48 39.66","0.99973569","N/A","N/A","N/A","N/A","18TXL0499708128"
"77050","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7200070542","N404312.02540","40.7200070542","N404312.02540","-73.7393588452","W0734421.69184","-73.7393588452","W0734421.69184","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","61,478.893","322,021.539","201,702.000","1,056,499.000","201,702.403","1,056,501.113","00 10 13.73","0.99999747","N/A","UTM Zone 18","4,508,440.126","606,470.536","00 49 20.90","0.99973953","N/A","N/A","N/A","N/A","18TXL0647008440"
"77150","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6925470015","N404133.16921","40.6925470015","N404133.16921","-73.7316229981","W0734353.84279","-73.7316229981","W0734353.84279","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","58,431.496","322,684.481","191,704.000","1,058,674.000","191,704.383","1,058,676.117","00 10 31.95","0.99999866","N/A","UTM Zone 18","4,505,401.250","607,167.919","00 49 37.42","0.99974136","N/A","N/A","N/A","N/A","18TXL0716705401"
"77350","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6780498902","N404040.97960","40.6780498902","N404040.97960","-73.7465170697","W0734447.46145","-73.7465170697","W0734447.46145","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","56,817.882","321,430.226","186,410.000","1,054,559.000","186,410.373","1,054,561.109","00 09 56.88","0.99999939","N/A","UTM Zone 18","4,503,773.903","605,932.412","00 49 01.58","0.99973812","N/A","N/A","N/A","N/A","18TXL0593203773"
"77550","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7270290687","N404337.30465","40.7270290687","N404337.30465","-73.7349405289","W0734405.78590","-73.7349405289","W0734405.78590","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","62,259.792","322,392.482","204,264.000","1,057,716.000","204,264.409","1,057,718.115","00 10 24.13","0.99999720","N/A","UTM Zone 18","4,509,224.994","606,832.475","00 49 31.70","0.99974048","N/A","N/A","N/A","N/A","18TXL0683209224"
"77650","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7059735171","N404221.50466","40.7059735171","N404221.50466","-73.7494694473","W0734458.09001","-73.7494694473","W0734458.09001","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","59,918.009","321,171.755","196,581.000","1,053,711.000","196,581.393","1,053,713.107","00 09 49.92","0.99999805","N/A","UTM Zone 18","4,506,870.082","605,638.782","00 48 56.32","0.99973736","N/A","N/A","N/A","N/A","18TXL0563806870"
"77750","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.6853008587","N404107.08309","40.6853008587","N404107.08309","-73.7281510522","W0734341.34379","-73.7281510522","W0734341.34379","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","57,627.737","322,980.442","189,067.000","1,059,645.000","189,067.378","1,059,647.119","00 10 40.12","0.99999902","N/A","UTM Zone 18","4,504,601.114","607,472.922","00 49 45.13","0.99974217","N/A","N/A","N/A","N/A","18TXL0747204601"
"77850","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7110078430","N404239.62823","40.7110078430","N404239.62823","-73.7820439244","W0734655.35813","-73.7820439244","W0734655.35813","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","60,469.698","318,417.577","198,391.000","1,044,675.000","198,391.397","1,044,677.089","00 08 33.22","0.99999783","N/A","UTM Zone 18","4,507,390.265","602,879.234","00 47 40.11","0.99973027","N/A","N/A","N/A","N/A","18TXL0287907390"
"78050","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7073826362","N404226.57749","40.7073826362","N404226.57749","-73.7388275011","W0734419.77900","-73.7388275011","W0734419.77900","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","60,077.115","322,070.612","197,103.000","1,056,660.000","197,103.394","1,056,662.113","00 10 14.98","0.99999799","N/A","UTM Zone 18","4,507,039.358","606,535.538","00 49 21.39","0.99973970","N/A","N/A","N/A","N/A","18TXL0653507039"
"78150","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.7022160097","N404207.97763","40.7022160097","N404207.97763","-73.8308120007","W0734950.92320","-73.8308120007","W0734950.92320","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","NY L-3104","59,484.277","314,298.501","195,158.000","1,031,161.000","195,158.390","1,031,163.062","00 06 38.39","0.99999822","N/A","UTM Zone 18","4,506,358.326","598,772.758","00 45 45.08","0.99972008","N/A","N/A","N/A","N/A","18TWL9877206358"
